frameNum,rotation,translation,imu angular velocity,imu linear velocity,groundtruth
236,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
237,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
238,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
239,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
240,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
241,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
242,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
243,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
244,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
245,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
246,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
247,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
248,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
249,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
250,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
251,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
252,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
253,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
254,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
255,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
256,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
257,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
258,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
259,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
260,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
261,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
262,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
263,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
264,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
265,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
266,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
267,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
268,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
269,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
270,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
271,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
272,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
273,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
274,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
275,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
276,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
277,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
278,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
279,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
280,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
281,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
282,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
283,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
284,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
285,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
286,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
287,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
288,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
289,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
290,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
291,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
292,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
293,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
294,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
295,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
296,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
297,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
298,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
299,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
300,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
301,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
302,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
303,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
304,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
305,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
306,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
307,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
308,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
309,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
310,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
311,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
312,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
313,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
314,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
315,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
316,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
317,"[[[[-0.13123535  0.7869823   0.60285665], [-0.68312004  0.36890397 -0.63028317], [-0.71841791 -0.49453889  0.48919014]]]]","[[[[-0.44112454], [ 0.6162694], [-0.65239648]]]]","[0.319744318965, 0.151494579073, -0.173136661798]","[7.55929270833, -1.446480875, -6.01474533333]","[0.0, 0.0, 0.0]"
